ReviewID,ReviewTime,Review
5.85079e+17,Mon Apr 06 13:56:12 +0000 2015,medicare stingy first year doctor bonus stingy first year doctor bonus
5.84073e+17,Fri Apr 03 19:21:47 +0000 2015,cancer survivor worry supreme court ruling obamacare subsidy survivor worry supreme court ruling obamacare subsidy
5.84069e+17,Fri Apr 03 19:05:52 +0000 2015,got minute watch 2014 tax bill could affected health insurance video tax deadline meet health law
5.84066e+17,Fri Apr 03 18:52:33 +0000 2015,consumer contributing le health saving account
5.83754e+17,Thu Apr 02 22:13:13 +0000 2015,rt julie_appleby tax time clip need know received health insurance subsidy
5.83672e+17,Thu Apr 02 16:46:30 +0000 2015,got min 2014 tax bill could affected health insurance
5.83626e+17,Thu Apr 02 13:45:12 +0000 2015,tax deadline meet health law 3ie
5.83334e+17,Wed Apr 01 18:25:53 +0000 2015,last least
5.83333e+17,Wed Apr 01 18:20:27 +0000 2015,georgia
5.83289e+17,Wed Apr 01 15:26:58 +0000 2015,rt cnnhealth despised hospital gown get fashion makeover
5.82992e+17,Tue Mar 31 19:45:11 +0000 2015,moving
5.82991e+17,Tue Mar 31 19:42:43 +0000 2015,could new plan change diagnose treat mentalillness
5.82985e+17,Tue Mar 31 19:16:50 +0000 2015,dead center
5.8295e+17,Tue Mar 31 16:59:14 +0000 2015,scotus ruled health care provider sue state force increase medicaid payment rate
5.82931e+17,Tue Mar 31 15:40:49 +0000 2015,hey news friend
5.82927e+17,Tue Mar 31 15:27:00 +0000 2015,hate hospital gown alone getting fashion face lift
5.82645e+17,Mon Mar 30 20:44:50 +0000 2015,unitedhealthcare changing policy balance billing could mean unexpected bill
5.82617e+17,Mon Mar 30 18:53:16 +0000 2015,pox
5.82594e+17,Mon Mar 30 17:24:13 +0000 2015,doctor know want die
5.82547e+17,Mon Mar 30 14:16:33 +0000 2015,fed step effort raise awareness health law tax break
5.82547e+17,Mon Mar 30 14:15:33 +0000 2015,doc fix back story boehner pelosi made deal
5.81518e+17,Fri Mar 27 18:09:47 +0000 2015,many people entitled big obamacare subsidy opt coverage
5.81482e+17,Fri Mar 27 15:44:39 +0000 2015,insurance company denied mentalhealth care felt needed tell jennyagold
5.81475e+17,Fri Mar 27 15:16:48 +0000 2015,run latest docfix voted
5.81178e+17,Thu Mar 26 19:37:38 +0000 2015,today cartoon
5.81162e+17,Thu Mar 26 18:33:02 +0000 2015,house passed bill fix medicare doctor payment next sumaa6jal jpg
5.81139e+17,Thu Mar 26 17:02:49 +0000 2015,high deductible plan bring lower cost
5.81111e+17,Thu Mar 26 15:11:46 +0000 2015,running house docfix proposal
5.811e+17,Thu Mar 26 14:28:07 +0000 2015,employer wellness incentive time high
5.811e+17,Thu Mar 26 14:26:09 +0000 2015,need know today docfix vote
5.81099e+17,Thu Mar 26 14:24:28 +0000 2015,house republican approved budget blueprint
5.80779e+17,Wed Mar 25 17:09:48 +0000 2015,stark raving mad
5.80776e+17,Wed Mar 25 16:58:23 +0000 2015,got morning briefing get delivered every morning signup
5.80731e+17,Wed Mar 25 14:01:25 +0000 2015,house proposal fix medicare payment doctor
5.80731e+17,Wed Mar 25 13:59:21 +0000 2015,obama getting behind quality
5.8073e+17,Wed Mar 25 13:56:57 +0000 2015,latest gop budget vote fix medicare pay doctor
5.80444e+17,Tue Mar 24 18:59:31 +0000 2015,rt jennyagold insurance company denied mentalhealth care felt needed tell u
5.80419e+17,Tue Mar 24 17:20:56 +0000 2015,could obamacare first tax season mean delayed refund american
5.80392e+17,Tue Mar 24 15:32:01 +0000 2015,even female dominated nursing
5.8038e+17,Tue Mar 24 14:47:01 +0000 2015,complicated tax season many people
5.80364e+17,Tue Mar 24 13:43:10 +0000 2015,ted cruz launch campaign call abolish health law
5.80364e+17,Tue Mar 24 13:42:17 +0000 2015,study half household getting subsidy may repay irs
5.80117e+17,Mon Mar 23 21:20:04 +0000 2015,hitting brick wall
5.80109e+17,Mon Mar 23 20:50:38 +0000 2015,house proposal fix medicare payment doctor
5.80109e+17,Mon Mar 23 20:48:13 +0000 2015,study depression related ailment take toll workplace
5.78978e+17,Fri Mar 20 17:52:50 +0000 2015,broken dream
5.78975e+17,Fri Mar 20 17:42:57 +0000 2015,health law resulted fewer employee getting coverage employer
5.78947e+17,Fri Mar 20 15:51:45 +0000 2015,live tweeting dwebbkhn iomendoflife philgalewitz hrsagov event community health center follow along
5.78626e+17,Thu Mar 19 18:36:09 +0000 2015,locked
5.78605e+17,Thu Mar 19 17:12:19 +0000 2015,battle dementia drug could mean consequence patient drug maker
5.78596e+17,Thu Mar 19 16:36:56 +0000 2015,rt jordanrau reportinghealth webinar spill secret reporting acos
5.78596e+17,Thu Mar 19 16:36:35 +0000 2015,rt jennyagold icymi blue shield california loses state tax exemption
5.78573e+17,Thu Mar 19 15:03:46 +0000 2015,want congress step scotus strike obamacare subsidy
5.78571e+17,Thu Mar 19 14:57:51 +0000 2015,fight abortion funding blocking bill human trafficking
5.78328e+17,Wed Mar 18 22:51:41 +0000 2015,blue shield california loses state tax exemption
5.7825e+17,Wed Mar 18 17:41:20 +0000 2015,many along texas border still live without clean
5.78193e+17,Wed Mar 18 13:56:46 +0000 2015,latest health policy news delivered email morning today sign
5.78193e+17,Wed Mar 18 13:54:31 +0000 2015,medicaid expansion hope live montana
5.78192e+17,Wed Mar 18 13:53:11 +0000 2015,house gop budget plan medicare medicaid cut obamacare repeal
5.77883e+17,Tue Mar 17 17:25:27 +0000 2015,rural hospital struggle stay afloat obamacare cut payment
5.77539e+17,Mon Mar 16 18:35:18 +0000 2015,outrageous fortune
5.7752e+17,Mon Mar 16 17:21:23 +0000 2015,health law helped insure 16 4 million
5.77493e+17,Mon Mar 16 15:34:59 +0000 2015,faq could congress ready fix medicare pay doctor docfix
5.77469e+17,Mon Mar 16 13:59:39 +0000 2015,hospital face pain scotus rule obamacare tax subsidy
5.77469e+17,Mon Mar 16 13:58:23 +0000 2015,house leader pursue deal change medicare payment formula doctor
5.77469e+17,Mon Mar 16 13:57:11 +0000 2015,republican unveil budget plan week expect
5.76465e+17,Fri Mar 13 19:30:50 +0000 2015,friday funny
5.76429e+17,Fri Mar 13 17:05:04 +0000 2015,3 million californian remain uninsured asking county step care
5.76404e+17,Fri Mar 13 15:25:42 +0000 2015,medical debt new agreement could keep credit report
5.76403e+17,Fri Mar 13 15:22:07 +0000 2015,medical debt new agreement could keep credit report
5.76392e+17,Fri Mar 13 14:39:05 +0000 2015,medicaid expansion blocked alaska missouri
5.76392e+17,Fri Mar 13 14:37:42 +0000 2015,support grows let pregnant woman enroll health insurance anytime
5.76073e+17,Thu Mar 12 17:30:21 +0000 2015,one stop health care shop florida appeal latino population
5.76066e+17,Thu Mar 12 17:05:08 +0000 2015,missouri make people work order qualify expanded medicaid
5.76064e+17,Thu Mar 12 16:55:39 +0000 2015,get daily email every morning running top health care policy news today
5.76016e+17,Thu Mar 12 13:43:46 +0000 2015,patient dying knew far doctor empathy go
5.76014e+17,Thu Mar 12 13:36:58 +0000 2015,latest lawmaker proposing fix medicare doctor pay
5.76014e+17,Thu Mar 12 13:35:43 +0000 2015,republican governor scotus strike obamacare insurance subsidy
5.75757e+17,Wed Mar 11 20:35:15 +0000 2015,deeper dive ericreporter montana lawmaker killing medicaid expansion
5.75751e+17,Wed Mar 11 20:13:35 +0000 2015,mental health provider get incentive making electronic health record digital
5.75654e+17,Wed Mar 11 13:47:18 +0000 2015,gop legislator officially kill montana gov medicaid expansion plan
5.75653e+17,Wed Mar 11 13:42:36 +0000 2015,report 11 7 million american signed enrolled obamacare coverage
5.75406e+17,Tue Mar 10 21:21:48 +0000 2015,fda head uncharted territory biosimiliar drug
5.75398e+17,Tue Mar 10 20:50:06 +0000 2015,always get choose hospital go
5.75387e+17,Tue Mar 10 20:06:45 +0000 2015,cartoon side effect accrued
5.75351e+17,Tue Mar 10 17:43:39 +0000 2015,bos make take company health insurance
5.75351e+17,Tue Mar 10 17:43:06 +0000 2015,satisfied experience hospital check tool see alone
5.75294e+17,Tue Mar 10 13:54:46 +0000 2015,hospital satisfying patient new tool show
5.75272e+17,Tue Mar 10 12:29:54 +0000 2015,rt jordanrau wut want longest possible story hospital patient satisfaction ok via khnews
5.74957e+17,Mon Mar 09 15:38:13 +0000 2015,rt susanjaffe dead doc fed say doc listed network must alive amp taking new patient
5.73924e+17,Fri Mar 06 19:11:50 +0000 2015,star struck
5.7392e+17,Fri Mar 06 18:55:32 +0000 2015,electronic medical record exactly drag drop
5.73911e+17,Fri Mar 06 18:21:59 +0000 2015,slightly latino african american sign california exchange
5.73868e+17,Fri Mar 06 15:28:11 +0000 2015,rt lauriemcginley2 worth reading lede anecdote alone digital dilemma medicine share record
5.73506e+17,Thu Mar 05 15:29:01 +0000 2015,ruling obamacare subsidy could disparate impact
5.73505e+17,Thu Mar 05 15:27:48 +0000 2015,side claiming victory scotus obamacare argument
5.73238e+17,Wed Mar 04 21:45:23 +0000 2015,surprise standing breaking today supreme court argument
5.73206e+17,Wed Mar 04 19:37:36 +0000 2015,argument health law future provide clue supreme court decision
5.73197e+17,Wed Mar 04 19:03:56 +0000 2015,putting hammer
5.73193e+17,Wed Mar 04 18:49:00 +0000 2015,medicaid expansion problem many safety net hospital profit
5.73169e+17,Wed Mar 04 17:11:29 +0000 2015,breaking news justice raise question federal state balance
5.73157e+17,Wed Mar 04 16:22:40 +0000 2015,rt philgalewitz solicitor general verilli brings issue legal standing say presumes least 1 4 plaintiff standing
5.73156e+17,Wed Mar 04 16:22:02 +0000 2015,kingvburwell update rt philgalewitz justice kagan say key 4 word health law must read full context law
5.72816e+17,Tue Mar 03 17:48:29 +0000 2015,rt jrovner rather watch read
5.72794e+17,Tue Mar 03 16:22:12 +0000 2015,stake health law land supreme court
5.72793e+17,Tue Mar 03 16:19:39 +0000 2015,maryagnescarey jrovner talk expect obamacare head back scotus
5.72793e+17,Tue Mar 03 16:18:24 +0000 2015,talking point side crafting scotus kingvburwell argument
5.72793e+17,Tue Mar 03 16:17:13 +0000 2015,four little word
5.72474e+17,Mon Mar 02 19:09:41 +0000 2015,5 thing know supreme court case challenging health law thing know supreme court case challenging health law
5.72473e+17,Mon Mar 02 19:06:56 +0000 2015,rt maryagnescarey sarahvarney4 report extra cost extra weight older adult via khnews
5.72462e+17,Mon Mar 02 18:22:07 +0000 2015,rt heidi_demarco photo latest khnews health care far home
5.72454e+17,Mon Mar 02 17:52:37 +0000 2015,town biggest health care problem insurance distance health care far home
5.72449e+17,Mon Mar 02 17:30:52 +0000 2015,extra cost extra weight older adult extra cost extra weight older adult
5.72445e+17,Mon Mar 02 17:13:29 +0000 2015,one four foster kid miss required checkup one four foster kid miss required checkup
5.71429e+17,Fri Feb 27 21:59:02 +0000 2015,internist get break controversial effort bolster performance get break controversial effort bolster performance
5.7142e+17,Fri Feb 27 21:23:41 +0000 2015,hhs secretary burwell grilled health law contingency plan sec burwell face stiff questioning health law contingency plan
5.71418e+17,Fri Feb 27 21:14:35 +0000 2015,5 thing know supreme court case challenging health law thing know supreme court case challenging health law
5.71033e+17,Thu Feb 26 19:45:57 +0000 2015,payback time many obamacare insurance plan
5.71007e+17,Thu Feb 26 18:00:08 +0000 2015,scotus strike obamacare insurance subsidy
5.71001e+17,Thu Feb 26 17:38:27 +0000 2015,rt jrovner sec burwell apparently say
5.70707e+17,Wed Feb 25 22:09:56 +0000 2015,kaiser permanente faulted mental health care lapse california
5.70604e+17,Wed Feb 25 15:20:51 +0000 2015,hhs sec burwell warning backup plan scotus strike obamacare subsidy
5.70604e+17,Wed Feb 25 15:19:58 +0000 2015,irs issue reprieve filed tax faulty form detected
5.70333e+17,Tue Feb 24 21:23:54 +0000 2015,winner take fall
5.70303e+17,Tue Feb 24 19:24:08 +0000 2015,2 4m sign 42 people
5.70259e+17,Tue Feb 24 16:26:49 +0000 2015,art
5.70252e+17,Tue Feb 24 16:00:19 +0000 2015,rt hereandnow enough oversight home caregiver annagorman khnews report
5.70251e+17,Tue Feb 24 15:55:01 +0000 2015,rt philgalewitz expect 4 6 month sgr patch march wholesale repeal tied chip reauth sept rep price tell amermedicalassn
5.70248e+17,Tue Feb 24 15:44:22 +0000 2015,almost 11 million people get medicaid health law
5.70248e+17,Tue Feb 24 15:43:13 +0000 2015,survey health law help
5.69959e+17,Mon Feb 23 20:37:24 +0000 2015,senior medicare eligible obesity counseling
5.69958e+17,Mon Feb 23 20:32:04 +0000 2015,supreme court case may wake call republican
5.69921e+17,Mon Feb 23 18:05:58 +0000 2015,obama administration say insurance plan without hospital coverage
5.69903e+17,Mon Feb 23 16:52:01 +0000 2015,facing obamacare tax penalty time enroll year
5.69902e+17,Mon Feb 23 16:51:02 +0000 2015,bad tax info impact 800
5.68847e+17,Fri Feb 20 18:57:27 +0000 2015,ucla bacteria outbreak highlight challenge behind curbing infection jordanrau examines
5.6881e+17,Fri Feb 20 16:31:27 +0000 2015,handful state continuing health enrollment effort consumer
5.68807e+17,Fri Feb 20 16:20:41 +0000 2015,get obamacare tax shock time get 2015 coverage avoid penalty next year
5.68612e+17,Fri Feb 20 03:22:52 +0000 2015,need late night laugh
5.68476e+17,Thu Feb 19 18:24:13 +0000 2015,medicare bonus round
5.65982e+17,Thu Feb 12 21:12:15 +0000 2015,thanks joining u chat tmjennings jennyagold khnews beingmortal read
5.65981e+17,Thu Feb 12 21:07:52 +0000 2015,live chat jennyagold take going experience know important think discus beingmortal
5.6598e+17,Thu Feb 12 21:05:14 +0000 2015,live chat filmmaker tmjennings tell u making beingmortal impacted thinking mortality
5.65979e+17,Thu Feb 12 21:02:45 +0000 2015,live chat discussion palliative care end life issue read story better end palliative care hospice end life beingmortal
5.65979e+17,Thu Feb 12 20:59:36 +0000 2015,live chat advanced care directive make huge difference end life planning beingmortal
5.65977e+17,Thu Feb 12 20:54:43 +0000 2015,live chat relative cost palliative care v extended curative treatment beingmortal
5.65976e+17,Thu Feb 12 20:49:41 +0000 2015,rt frontlinepbs live chat role hope play end life planning beingmortal
5.65976e+17,Thu Feb 12 20:47:37 +0000 2015,live chat seriously ill patient talk wish end life pursuing treatment beingmortal
5.65975e+17,Thu Feb 12 20:44:17 +0000 2015,live chat doc reacted filmed hard conversation patient death beingmortal
5.65973e+17,Thu Feb 12 20:35:41 +0000 2015,live chat doctor trained difficult end life discussion patient beingmortal
5.65972e+17,Thu Feb 12 20:32:43 +0000 2015,rt amielu718 khnews end life decision treated treatment option beingmortal
5.65971e+17,Thu Feb 12 20:28:27 +0000 2015,live chat doctor balance offering treatment v talking end life decision beingmortal
5.6597e+17,Thu Feb 12 20:24:57 +0000 2015,live chat age think people encouraged talk end life planning beingmortal
5.65969e+17,Thu Feb 12 20:22:25 +0000 2015,live chat beingmortal filmmaker tmjennings participation child end life decision making
5.65968e+17,Thu Feb 12 20:17:24 +0000 2015,live chat look inside making beingmortal frontline real get inside making mortal
5.65967e+17,Thu Feb 12 20:12:33 +0000 2015,beingmortal filmmaker tmjennings think discus death hard wired talk
5.65966e+17,Thu Feb 12 20:09:26 +0000 2015,live chat guest want know many people unable talk death beingmortal
5.65964e+17,Thu Feb 12 20:01:54 +0000 2015,beingmortal chat tmjennings jennyagold khnews started join u participate
5.65963e+17,Thu Feb 12 19:56:28 +0000 2015,rt jennyagold chat beingmortal begin come chat would spend final day
5.6596e+17,Thu Feb 12 19:45:19 +0000 2015,join chat tmjennings amp jennyagold khnews beingmortal send question
5.65953e+17,Thu Feb 12 19:19:51 +0000 2015,rt jennyagold start asking question beingmortal livechat start 3pmet 12pmpt science technology mortal would spend last day live chat 3 p et thursday 212
5.65952e+17,Thu Feb 12 19:14:43 +0000 2015,rt frontlinepbs question beingmortal live chat khnews leave
5.65936e+17,Thu Feb 12 18:09:15 +0000 2015,join chat today tmjennings amp jennyagold khnews discus beingmortal
5.65934e+17,Thu Feb 12 18:02:47 +0000 2015,study physician report request patient unnecessary
5.65925e+17,Thu Feb 12 17:28:09 +0000 2015,question beingmortal join chat today tmjennings amp jennyagold khnews
5.65916e+17,Thu Feb 12 16:50:32 +0000 2015,may first verdict kind
5.656e+17,Wed Feb 11 19:55:52 +0000 2015,reading
5.65599e+17,Wed Feb 11 19:51:10 +0000 2015,pediatrician adequate training iud
5.65584e+17,Wed Feb 11 18:49:51 +0000 2015,low income californian satisfied health care
5.65299e+17,Tue Feb 10 23:59:20 +0000 2015,rt jennyagold thursday
5.65207e+17,Tue Feb 10 17:54:15 +0000 2015,idea emerge simplify
5.64906e+17,Mon Feb 09 21:56:38 +0000 2015,idea floating change obamacare
5.6488e+17,Mon Feb 09 20:14:48 +0000 2015,signing latino obamacare still proving difficult
5.64826e+17,Mon Feb 09 16:40:07 +0000 2015,le week countdown obamacare open enrollment season end feb 15
5.64826e+17,Mon Feb 09 16:39:05 +0000 2015,plaintiff standing questioned supreme court health law challenge
5.63835e+17,Fri Feb 06 23:00:34 +0000 2015,rt jordanrau khnews medicare pay performance story data readmission
5.63783e+17,Fri Feb 06 19:34:39 +0000 2015,careful despite health law
5.63737e+17,Fri Feb 06 16:33:28 +0000 2015,medicaid get equal access mental health care new rule might change
5.63721e+17,Fri Feb 06 15:29:34 +0000 2015,consumer need know anthem hack
5.63721e+17,Fri Feb 06 15:28:47 +0000 2015,hacker stole anthem database got name
5.63464e+17,Thu Feb 05 22:25:58 +0000 2015,california lawmaker make kid fully vaccinated go school jennyagold examines measles
5.63432e+17,Thu Feb 05 20:19:15 +0000 2015,game drone
5.63373e+17,Thu Feb 05 16:24:58 +0000 2015,obamacare marketplace enrollment grows 10 million
5.63372e+17,Thu Feb 05 16:22:44 +0000 2015,gop obamacare alternative
5.63039e+17,Wed Feb 04 18:17:52 +0000 2015,obamacare supposed keep medical bill bankrupting people
5.63033e+17,Wed Feb 04 17:55:40 +0000 2015,blue cross north carolina price tool could shake medical industry
5.63033e+17,Wed Feb 04 17:54:04 +0000 2015,might gop obamacare replacement plan look like
5.62687e+17,Tue Feb 03 19:01:45 +0000 2015,protect son
5.62645e+17,Tue Feb 03 16:12:58 +0000 2015,budget change medicare
5.62354e+17,Mon Feb 02 20:56:30 +0000 2015,1 12 californian suffers diabetes
5.62313e+17,Mon Feb 02 18:13:23 +0000 2015,florida 1 obamacare enrollment despite gop opposition
5.623e+17,Mon Feb 02 17:22:20 +0000 2015,president obama budget outline main point contention gop
5.623e+17,Mon Feb 02 17:20:37 +0000 2015,one measly win sbxlix
5.61234e+17,Fri Jan 30 18:47:29 +0000 2015,reduce hospital visit
5.61234e+17,Fri Jan 30 18:45:17 +0000 2015,irs eas repayment rule excess health premium subsidy
5.6091e+17,Thu Jan 29 21:18:02 +0000 2015,rt barbfederostrov news left foundation life freelancing khnews 1st story medicaid kid
5.60907e+17,Thu Jan 29 21:08:01 +0000 2015,half california kid medicaid
5.60889e+17,Thu Jan 29 19:54:10 +0000 2015,seeking insurance told qualify
5.60875e+17,Thu Jan 29 19:01:03 +0000 2015,california launch campaign curb e cigarette smoking
5.60875e+17,Thu Jan 29 19:00:26 +0000 2015,californian insurance exchange sticking last year plan
5.60847e+17,Thu Jan 29 17:08:46 +0000 2015,insurer using high drug price way keep sickest patient away
5.60847e+17,Thu Jan 29 17:07:06 +0000 2015,million face health law tax penalty
5.60512e+17,Wed Jan 28 18:57:02 +0000 2015,could indiana medicaid expansion tempt gop led state follow suit philgalewitz report
5.60503e+17,Wed Jan 28 18:21:17 +0000 2015,basic hospice care question ask
5.60475e+17,Wed Jan 28 16:29:05 +0000 2015,yuck
5.60467e+17,Wed Jan 28 15:59:23 +0000 2015,coffee shop
5.60467e+17,Wed Jan 28 15:58:38 +0000 2015,9 5 million sign insurance health law marketplace
5.60466e+17,Wed Jan 28 15:54:17 +0000 2015,supreme court rule insurance subsidy
5.60139e+17,Tue Jan 27 18:13:55 +0000 2015,repay premium tax credit marketplace miscalculated
5.60116e+17,Tue Jan 27 16:42:13 +0000 2015,medical device tax warsaw
5.60115e+17,Tue Jan 27 16:40:01 +0000 2015,3 2 million newly eligible adult enrolled medicaid early 2014
5.60115e+17,Tue Jan 27 16:39:23 +0000 2015,detail medicare official announce major shift pay quality
5.59798e+17,Mon Jan 26 19:39:28 +0000 2015,hhs want half medicare spending linked coordinated care quality frugality 2018
5.59791e+17,Mon Jan 26 19:12:58 +0000 2015,cleveland clinic sends pharmacist see patient discharge reduce readmission save
5.59754e+17,Mon Jan 26 16:45:11 +0000 2015,ark governor choice medicaid could risky
5.59753e+17,Mon Jan 26 16:40:36 +0000 2015,healthcare gov putting new privacy safeguard place
5.58692e+17,Fri Jan 23 18:25:08 +0000 2015,drug covered obamacare plan confused
5.58642e+17,Fri Jan 23 15:06:54 +0000 2015,ark gov call keeping medicaid expansion two year
5.58634e+17,Fri Jan 23 14:33:46 +0000 2015,make daily health policy news rundown part morning routine today
5.58388e+17,Thu Jan 22 22:18:50 +0000 2015,california take different path insuring people living u illegally
5.58364e+17,Thu Jan 22 20:42:03 +0000 2015,lump throat
5.58326e+17,Thu Jan 22 18:11:09 +0000 2015,rt jordanrau khnews chart medicare hospital quality bonus penalty state value based purchasing
5.5829e+17,Thu Jan 22 15:49:07 +0000 2015,hospital around u line medicare bonus
5.58289e+17,Thu Jan 22 15:42:09 +0000 2015,house gop drop abortion bill female lawmaker voiced criticism
5.57993e+17,Wed Jan 21 20:06:29 +0000 2015,thurs 42nd anniversary roe v wade abortion right backer next goal reduce stigma
5.57945e+17,Wed Jan 21 16:58:58 +0000 2015,scotus considering doctor others sue state medicaid pay
5.57937e+17,Wed Jan 21 16:26:56 +0000 2015,state union speech
5.57633e+17,Tue Jan 20 20:17:20 +0000 2015,sen hatch vowing repeal obamacare predicting bipartisan solution health issue
5.57623e+17,Tue Jan 20 19:36:13 +0000 2015,could patient informed consent stifle innovation shefalil examines
5.57598e+17,Tue Jan 20 17:57:28 +0000 2015,massachusetts law help injured patient doctor settle difference work
5.57574e+17,Tue Jan 20 16:21:01 +0000 2015,sex couple get married
5.57554e+17,Tue Jan 20 15:02:07 +0000 2015,california nurse association call strike kaiser permanente
5.57554e+17,Tue Jan 20 15:01:34 +0000 2015,sort obamacare premium finding
5.56127e+17,Fri Jan 16 16:32:52 +0000 2015,cm head marilyn tavenner leaving post
5.56126e+17,Fri Jan 16 16:29:35 +0000 2015,new beneficiary really driving medicare advantage growth
5.55829e+17,Thu Jan 15 20:48:32 +0000 2015,hhs sec burwell call congress move beyond obamacare
5.55769e+17,Thu Jan 15 16:52:27 +0000 2015,mt jordanrau 10 expensive 10 cheapest health insurance market drum roll
5.55728e+17,Thu Jan 15 14:06:31 +0000 2015,obamacare premium expensive lowest jordanrau answer
5.5547e+17,Wed Jan 14 21:02:01 +0000 2015,obamacare 10b innovation lab produced early result jayhancock1 look
5.55433e+17,Wed Jan 14 18:34:38 +0000 2015,co ops
5.55384e+17,Wed Jan 14 15:22:36 +0000 2015,repeal medical device tax new report challenge economic reasoning move
5.55381e+17,Wed Jan 14 15:09:57 +0000 2015,sen barrasso obama express confidence supreme court subsidy case
5.55044e+17,Tue Jan 13 16:48:24 +0000 2015,new tax filing requirement year bought obamacare plan
5.5502e+17,Tue Jan 13 15:15:30 +0000 2015,high court reject challenge health law individual mandate
5.55019e+17,Tue Jan 13 15:11:44 +0000 2015,mailbox soon obamacare 2014 tax reporting form
5.54718e+17,Mon Jan 12 19:12:46 +0000 2015,doctor florida fighting get state pay see medicaid patient
5.54668e+17,Mon Jan 12 15:53:49 +0000 2015,state obamacare insurance exchange self sufficient
5.54667e+17,Mon Jan 12 15:49:36 +0000 2015,gop divided health law strategy
5.53278e+17,Thu Jan 08 19:52:58 +0000 2015,rural doctor launch startup ease pain dying patient
5.53272e+17,Thu Jan 08 19:28:44 +0000 2015,appeal court hears texas abortion case
5.52931e+17,Wed Jan 07 20:54:00 +0000 2015,hidden agenda
5.52887e+17,Wed Jan 07 17:57:35 +0000 2015,might worker eligible medicaid start help employer find
5.52862e+17,Wed Jan 07 16:19:13 +0000 2015,khn annagorman dug california home caregiver system found worry
5.5286e+17,Wed Jan 07 16:11:37 +0000 2015,gop aiming obamacare employer mandate
5.52841e+17,Wed Jan 07 14:57:21 +0000 2015,rt philgalewitz start help employer get worker enrolled medicaid
5.52589e+17,Tue Jan 06 22:12:49 +0000 2015,400
5.52525e+17,Tue Jan 06 18:00:02 +0000 2015,rt heidi_demarco lot responsibility home care provider training required
5.52506e+17,Tue Jan 06 16:44:51 +0000 2015,many insurer cover drug approved help people lose weight
5.52492e+17,Tue Jan 06 15:50:08 +0000 2015,gathering health care data always lead better care
5.52491e+17,Tue Jan 06 15:46:36 +0000 2015,state exchange report enrollment figure massachusetts
5.52207e+17,Mon Jan 05 20:58:13 +0000 2015,sarah varney talked state decision whether expand medicaid affect hospital
5.52204e+17,Mon Jan 05 20:42:51 +0000 2015,nursing home independence medicaid often roadblock
5.52192e+17,Mon Jan 05 19:56:30 +0000 2015,caregiving shift home
5.52171e+17,Mon Jan 05 18:32:38 +0000 2015,california elderly often getting care home
5.5217e+17,Mon Jan 05 18:28:44 +0000 2015,rt annagorman whole univision documentary
5.52138e+17,Mon Jan 05 16:23:16 +0000 2015,tax season always stressful
5.52138e+17,Mon Jan 05 16:22:22 +0000 2015,federal exchange beating state enrolling people obamacare
5.52138e+17,Mon Jan 05 16:20:34 +0000 2015,gop majority agenda includes fast action health law issue
5.49952e+17,Tue Dec 30 15:35:22 +0000 2014,rt cspanwj video jrovner
5.49613e+17,Mon Dec 29 17:09:33 +0000 2014,state choice medicaid expansion affect hospital
5.47767e+17,Wed Dec 24 14:52:02 +0000 2014,doctor treat medicaid patient going get big pay cut affect patient
5.47766e+17,Wed Dec 24 14:49:27 +0000 2014,ebola doctor make tough choice save life two colleague
5.47766e+17,Wed Dec 24 14:48:55 +0000 2014,detail fda proposes easing lifetime ban blood donation gay men
